query,cardinality
"SELECT COUNT(*)
FROM users,
  badges,
  votes,
  posts
WHERE badges.userid = users.id
  AND votes.userid = users.id
  AND posts.owneruserid = users.id
  AND votes.postid = posts.id
  AND users.upvotes <> 0
  AND users.accountid < 4155166;",50639
"SELECT COUNT(*)
FROM posts, votes
WHERE votes.postid = posts.id
  AND votes.postid = posts.id;",328064
"SELECT COUNT(*)
FROM posts, users
WHERE posts.owneruserid = users.id
  AND posts.closeddate < '2013-12-09 15:19:26'
  AND users.downvotes < 2
  AND posts.lasactivitydate < '2011-08-19 10:07:55';",60
"SELECT COUNT(*)
FROM posts, posthistory
WHERE posthistory.postid = posts.id
  AND posts.lasactivitydate < '2014-02-26 11:52:30'
  AND posts.viewcount < 292
  AND posts.acceptedanswerid < 62119
  AND posts.commentcount < 12;",15686
"SELECT COUNT(*)
FROM comments, users
WHERE comments.userid = users.id
  AND users.lastaccessdate <> '2011-03-26 23:23:44'
  AND users.views > 8;",143120
"SELECT COUNT(*)
FROM posts,
  posthistory,
  postlinks,
  comments,
  users
WHERE posthistory.postid = posts.id
  AND postlinks.relatedpostid = posts.id
  AND comments.postid = posts.id
  AND posts.owneruserid = users.id
  AND posthistory.userid = users.id
  AND comments.userid = users.id
  AND posthistory.postid = posts.id AND postlinks.relatedpostid = posts.id AND comments.postid = posts.id AND posts.owneruserid = users.id AND posthistory.userid = users.id AND comments.userid = users.id;",37163
"SELECT COUNT(*)
FROM posthistory, users
WHERE posthistory.userid = users.id
  AND posthistory.userid = users.id;",281859
"SELECT COUNT(*)
FROM votes,
  posts,
  postlinks,
  users
WHERE votes.postid = posts.id
  AND votes.userid = users.id
  AND postlinks.relatedpostid = posts.id
  AND posts.owneruserid = users.id
  AND users.downvotes > 1
  AND users.accountid <> 1874064
  AND posts.commentcount > 7;",74
"SELECT COUNT(*)
FROM votes, users
WHERE votes.userid = users.id
  AND votes.userid = users.id;",34789
"SELECT COUNT(*)
FROM posts, posthistory
WHERE posthistory.postid = posts.id
  AND posts.score <> 90
  AND posts.viewcount <> 67;",216930
"SELECT COUNT(*)
FROM comments, posts, posthistory
WHERE comments.postid = posts.id
  AND posthistory.postid = posts.id
  AND posts.score > 5
  AND posts.posttypeid <> 4;",148106
"SELECT COUNT(*)
FROM comments, posts, votes
WHERE comments.postid = posts.id
  AND votes.postid = posts.id
  AND posts.acceptedanswerid <> 71007
  AND votes.creationdate <> '2011-08-13'
  AND comments.creationdate <> '2014-04-07 19:03:11'
  AND posts.answercount > 0;",220855
"SELECT COUNT(*)
FROM badges, users
WHERE badges.userid = users.id
  AND users.creationdate > '2014-04-04 22:34:20'
  AND users.accountid > 430749;",7278
"SELECT COUNT(*)
FROM badges, users, comments
WHERE badges.userid = users.id
  AND comments.userid = users.id
  AND badges.date > '2014-01-27 21:10:50'
  AND users.reputation > 36
  AND users.upvotes > 2;",4016925
"SELECT COUNT(*)
FROM comments, users
WHERE comments.userid = users.id
  AND comments.creationdate > '2012-09-28 10:20:03'
  AND users.lastaccessdate <> '2014-08-20 06:04:12'
  AND users.creationdate <> '2012-04-24 09:14:10'
  AND users.upvotes <> 22;",108451
"SELECT COUNT(*)
FROM badges, users, posthistory
WHERE badges.userid = users.id
  AND posthistory.userid = users.id
  AND users.age <> 16
  AND users.downvotes > 0
  AND users.views > 9;",10175312
"SELECT COUNT(*)
FROM posthistory,
  users,
  votes,
  badges,
  posts
WHERE posthistory.userid = users.id
  AND posthistory.postid = posts.id
  AND votes.userid = users.id
  AND badges.userid = users.id
  AND posts.owneruserid = users.id
  AND votes.postid = posts.id
  AND votes.votetypeid > 6
  AND votes.creationdate > '2013-02-05';",88880
"SELECT COUNT(*)
FROM comments,
  users,
  badges,
  votes
WHERE comments.userid = users.id
  AND badges.userid = users.id
  AND votes.userid = users.id
  AND users.reputation > 31
  AND users.lastaccessdate < '2012-07-25 04:05:17';",801209
"SELECT COUNT(*)
FROM badges, users, votes
WHERE badges.userid = users.id
  AND votes.userid = users.id
  AND badges.userid = users.id AND votes.userid = users.id;",1056687
"SELECT COUNT(*)
FROM postlinks, posts
WHERE postlinks.relatedpostid = posts.id
  AND postlinks.relatedpostid = posts.id;",11102
"SELECT COUNT(*)
FROM posthistory,
  users,
  badges,
  posts
WHERE posthistory.userid = users.id
  AND posthistory.postid = posts.id
  AND badges.userid = users.id
  AND posts.owneruserid = users.id
  AND posthistory.userid = users.id AND posthistory.postid = posts.id AND badges.userid = users.id AND posts.owneruserid = users.id;",7562574
"SELECT COUNT(*)
FROM postlinks, posts, votes
WHERE postlinks.relatedpostid = posts.id
  AND votes.postid = posts.id
  AND posts.lasteditdate > '2013-09-04 01:59:52'
  AND votes.votetypeid > 15
  AND posts.score > 6;",307
"SELECT COUNT(*)
FROM votes,
  users,
  badges,
  posthistory
WHERE votes.userid = users.id
  AND badges.userid = users.id
  AND posthistory.userid = users.id
  AND badges.date > '2012-03-06 02:20:44'
  AND votes.bountyamount = 50
  AND votes.creationdate > '2014-07-29';",153430
"SELECT COUNT(*)
FROM votes, users
WHERE votes.userid = users.id
  AND votes.bountyamount = 50
  AND users.reputation <> 949;",810
"SELECT COUNT(*)
FROM posthistory, posts
WHERE posthistory.postid = posts.id
  AND posts.lasteditdate < '2013-05-24 12:55:45'
  AND posts.viewcount > 43;",79954
"SELECT COUNT(*)
FROM posthistory, posts
WHERE posthistory.postid = posts.id
  AND posts.favoritecount <> 1
  AND posts.communityowneddate > '2013-08-08 22:45:51'
  AND posts.lasteditdate < '2014-01-07 11:15:54';",87
"SELECT COUNT(*)
FROM comments, posts
WHERE comments.postid = posts.id
  AND posts.closeddate <> '2013-02-10 10:16:20'
  AND posts.commentcount < 4;",1649
"SELECT COUNT(*)
FROM postlinks,
  posts,
  posthistory,
  votes,
  comments
WHERE postlinks.relatedpostid = posts.id
  AND posthistory.postid = posts.id
  AND votes.postid = posts.id
  AND comments.postid = posts.id
  AND posts.closeddate <> '2014-02-27 21:30:26'
  AND posts.commentcount < 12
  AND comments.creationdate > '2013-07-31 15:47:59';",2941
"SELECT COUNT(*)
FROM posthistory,
  posts,
  tags,
  users
WHERE posthistory.postid = posts.id
  AND posthistory.userid = users.id
  AND tags.excerptpostid = posts.id
  AND posts.owneruserid = users.id
  AND posthistory.postid = posts.id AND posthistory.userid = users.id AND tags.excerptpostid = posts.id AND posts.owneruserid = users.id;",609
"SELECT COUNT(*)
FROM postlinks,
  posts,
  users,
  badges
WHERE postlinks.relatedpostid = posts.id
  AND posts.owneruserid = users.id
  AND badges.userid = users.id
  AND posts.acceptedanswerid <> 28481
  AND users.age > 21
  AND users.lastaccessdate < '2014-09-08 13:29:34';",41296
"SELECT COUNT(*)
FROM badges, users
WHERE badges.userid = users.id
  AND badges.userid = users.id;",79851
"SELECT COUNT(*)
FROM posthistory,
  users,
  comments,
  badges,
  posts
WHERE posthistory.userid = users.id
  AND posthistory.postid = posts.id
  AND comments.userid = users.id
  AND badges.userid = users.id
  AND posts.owneruserid = users.id
  AND comments.postid = posts.id
  AND posthistory.userid = users.id AND posthistory.postid = posts.id AND comments.userid = users.id AND badges.userid = users.id AND posts.owneruserid = users.id AND comments.postid = posts.id;",7221821
"SELECT COUNT(*)
FROM comments,
  posts,
  posthistory,
  users
WHERE comments.postid = posts.id
  AND comments.userid = users.id
  AND posthistory.postid = posts.id
  AND posts.owneruserid = users.id
  AND posthistory.userid = users.id
  AND comments.postid = posts.id AND comments.userid = users.id AND posthistory.postid = posts.id AND posts.owneruserid = users.id AND posthistory.userid = users.id;",176731
"SELECT COUNT(*)
FROM postlinks,
  posts,
  users,
  comments
WHERE postlinks.relatedpostid = posts.id
  AND posts.owneruserid = users.id
  AND comments.postid = posts.id
  AND comments.userid = users.id
  AND postlinks.relatedpostid = posts.id AND posts.owneruserid = users.id AND comments.postid = posts.id AND comments.userid = users.id;",8119
"SELECT COUNT(*)
FROM votes,
  users,
  posthistory,
  posts
WHERE votes.userid = users.id
  AND votes.postid = posts.id
  AND posthistory.userid = users.id
  AND posts.owneruserid = users.id
  AND posthistory.postid = posts.id
  AND votes.userid = users.id AND votes.postid = posts.id AND posthistory.userid = users.id AND posts.owneruserid = users.id AND posthistory.postid = posts.id;",13596
